Index;Document_No;Dominant_Topic;Topic_Perc_Contrib;Keywords;Question;Response
336;336;4.0;0.0778;delay, hour, miss, late, connection, suck, flight, policy, refund, water;So SUCKS!! I had to buy a whole new ticket on to Mexico on something that should be so simple.;This isnt what we want to hear, whats going on?
337;337;12.0;0.0681;make, change, customer, hope, thing, fee, dm, line, cool, night;I personally think charging someone 500 is OUTRAGEOUS;Weve flexible fares that allow changes to be made without a charge for situations like these. So sorry for any inconvenience this caused.
338;338;15.0;0.0883;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;I talked to 5 different people at American with no resolution. I talked to one united person and I have a flight.;Restricted tickets have a charge for any changes. Were sorry you didnt find an option that worked for you.
339;339;3.0;0.0636;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;"you’re really going to put a full plane to JFK with no food &amp; no drinks for 6 hrs?#madfeedingfreenzy";Were so sorry you had a rough start this morning! Can you please follow and DM us? We have some info wed like to share.
340;340;1.0;0.0789;cancel, airline, trip, expect, return, buy, chance, full, price, include;"Thank you for working with this #navymom who’s sailors orders changed last min &amp; trip had to be cancelled #AAlovesmilitaryfam";We love our military and are happy to help any day!
341;341;5.0;0.0738;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Halloween 2017 feat. Scrappy the Pilot Pup👨‍✈️ where does he apply? https://t.co/5J8L9tCzYW;Scrappy is the cutest little Pilot pup! #readytofly
342;342;3.0;0.0697;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;think you can send maintenence to 3366 to fix our jet bridge? 10 minutes and still nobody to get us off the plane.;Well get you off the plane as fast as we can. Thanks for your patience today.
343;343;1.0;0.0636;cancel, airline, trip, expect, return, buy, chance, full, price, include;Dont fly they suck. Knew flight was going to be canceled but didnt tell anyone until the last leg. No help!;We do everything possible to avoid cancellations, our team makes sure youre updates as soon as they receive new information.
344;344;15.0;0.0685;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;why are guitars allowed? Packed flight at least 6 of them in overheads, it’s inconvenient to passengers and is causing a delay https://t.co/kDOhsUAkBK;If an instrument fits into the overhead bin or underneath the seat, then customers may choose to bring this as their carry-on.
345;345;10.0;0.0865;bag, check, free, carry, luggage, put, bring, cabin, force, fit;As well as a carry on bag?;This would be in place of their carry-on. More info can be found here: https://t.co/AqqDo7qAE3. A personal item can be brought in addition.
346;346;13.0;0.0989;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;I applaud your application of Prospect Theory as a student of business yet as a consumer I’d welcome more innovation on a better experience!;We always want you to have an excellent experience when you fly with us and appreciate your feedback.
347;347;4.0;0.0686;delay, hour, miss, late, connection, suck, flight, policy, refund, water;late again;We do our best to leave on time and apologize for your delay. Well provide updates here: https://t.co/hSJ3SkyGEd
348;348;0.0;0.066;call, year, guy, nice, update, amp, ve, week, receive, status;(literally I fly only once a year and its a shorthaul to the midwest);Wed love for you to check them out. But youll need to travel on those flights to get them.
349;349;17.0;0.0639;time, bad, service, experience, response, home, understand, month, guy, reason;I had to go to Admiral club to get me back on the flight that I was taken off.;We see your DM, Lancy. Well reply to your comments there.
350;350;16.0;0.066;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Im already ready to hate and nothings happened yet;Were sorry this is how youre feeling, Jake. Please let us know if we can help in some way.
351;351;14.0;0.0833;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Hmm 588 at the gate and no gate agents to meet it SJC ?;It looks like we just pulled in and are good to go. Thanks for your patience.
352;352;6.0;0.0725;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;I just switched to an earlier flight this evening. Looked at app, not showing on upgrade list. EXPlat. Can you help?;We can take a look for you. Please DM your record locator.
353;353;2.0;0.066;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Yes, you could not make me pay twice for the same ticket;We see that the departure wasnt taken and not canceled prior to the flight. Due to this your ticket is no longer valid.
354;354;1.0;0.0991;cancel, airline, trip, expect, return, buy, chance, full, price, include;"&amp; now they are saying my return is cancelled &amp; I have to pay in full for the round trip ticket as well as a one way ticket back to dallas";Thats correct, if you dont take your flight in order, then the whole ticket is invalid. Our apologies for any misinformation given.
355;355;14.0;0.0673;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;✅ waiting for response;Weve received your DM and well respond shortly.
356;356;13.0;0.0838;day, travel, lose, find, business, class, thanksgiving, voucher, real, team; Your Vouchers are NOT good for Travel to the US from the UK? That RT was $500. $2600 ONE WAY from US to UK? Voucher=worthless!;One way fares are typically more expensive, but our vouchers dont guarantee that it will cover the cost of a ticket.
357;357;19.0;0.114;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;Typically more expensive? Try 10X more expensive. Wont cover the cost of a ticket? It cant be used TOWARDS the cost of the ticket!;You can use your voucher towards the ticket and purchase the difference, Bill. Please contact Reservations at 800-433-7300. They can help.
358;358;10.0;0.0849;bag, check, free, carry, luggage, put, bring, cabin, force, fit;.Can you have Trader Joe’s Turkey Meatballs in your checked luggage ;You can bring any delicious sandwich in your checked luggage and itll be ready for you after the flight!
359;359;17.0;0.0782;time, bad, service, experience, response, home, understand, month, guy, reason;Watch out for the rude supervisor at gate C25 at PHL. Unpleasant experience trying to get onto an earlier connecting flight.;Were very sorry for any rudeness, Nicholas. We always want your experience with our team to be great.
360;360;16.0;0.0929;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;I just tried to upgrade my bronze #aadvantage card from Bronze to Platinum. Told “not available” No reason. #crazy;Youll need to continue working with our friends at Citibank. They can be reached by phone at 1-888-766-2484.
361;361;10.0;0.0818;bag, check, free, carry, luggage, put, bring, cabin, force, fit;1/3 thanks for always knowing just how to ruin someones day. if your kiosk says you can check your bag gate, then theres no https://t.co/9RVLFFFLp7;As shared at check-in and purchase, youre not able to bring a carry-on. If you gate check it, then an extra $25 is added.
362;362;2.0;0.0731;seat, pay, move, extra, purchase, information, room, group, screw, hotel;"that is not the least bit helpful. my intention was to pay the extra $25 at gate as the security line was long &amp; wanted to be timely.";You may not be able to bring a bag past security that wouldnt qualify as a carry-on bag on a Main Cabin ticket. Our apologies.
363;363;10.0;0.161;bag, check, free, carry, luggage, put, bring, cabin, force, fit;right. it was a carry on bag. it was a carry on bag i flew to miami w on it was a carry on bag i was going to check the gate.;If you were on a Basic Economy ticket your bag still has to make the cut off time for bags.
364;364;7.0;0.0804;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;we havent started boarding because the closet door in first class is broken. i feel like this is a prank ;If a customer needs a little extra time to board please have them speak with our gate team immediately.
365;365;4.0;0.0804;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Let’s hope I don’t miss my goddaughter’s baptism in Buffalo tonight;We see our team has rebooked you to the next available flight tomorrow morning. Our sincerest apologies for the delay.
366;366;10.0;0.0776;bag, check, free, carry, luggage, put, bring, cabin, force, fit; Today, double charged for a bag. I was told same day service would get a waiver on the 2nd fee. It is always something.;The baggage charges would apply to each direction you travel. Were sorry that you werent aware of that.
367;367;8.0;0.066;https, today, fly, home, guess, aa, awesome, treat, part, joke;The Flagship Lounge is 🤩😍😎. Look at these goodies! https://t.co/jxWRlox4y5;We love our comfort food! Looks so #yummy.
368;368;15.0;0.0776;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;Love it whn ur an EP and not fortunate to get upgrade and the FA dont acknowledge or offer a cocktail #worstprogram #noSOP;We expect our crew members to always be courteous and and attentive, Arden. Were sorry that was overlooked.
369;369;8.0;0.0789;https, today, fly, home, guess, aa, awesome, treat, part, joke;But I guess I should feel lucky because they gave me food vouchers, right? #jokes;We appreciate your patience while one of our specialists reviews this.
370;370;2.0;0.0706;seat, pay, move, extra, purchase, information, room, group, screw, hotel;- honeymoon delayed bc of a cancelled flight. Any help w/ the extra money we had to spend? #stuckindenver #wannabeinmexico;Were sorry for the delayed start to your honeymoon. Let us know if you need help with rebooking and well take a look.
371;371;2.0;0.0744;seat, pay, move, extra, purchase, information, room, group, screw, hotel;We are rebooked for tomorrow (as long as nothing goes wrong there, too) but had to spend $350+ for hotel + waste 1 day of our all inclusive;Please follow and DM your record locator once your flight has completed. Well take a look at your reservation.
372;372;6.0;0.0906;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Once my flight is completed, I’m going to finally enjoy my honeymoon. If there isn’t anything u can do now we won’t fly w/ u in the future.;We definitely dont want this to be your last trip with us and well have you in Mexico soon. Were following up in DM with more info.
373;373;10.0;0.0945;bag, check, free, carry, luggage, put, bring, cabin, force, fit;I loathe 😠 Always have. If my bag fits in one sizer, it fits in all of them. We don’t need to do this 4 times. #Relax #ItFits;Were not trying to make it difficult since want you to be happy. Thanks for letting our team confirm.
374;374;5.0;0.0776;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Impressive new software on gives you heads up of a possible misconnect and options for immediate rebooking at no charge.;We want to minimize the impact of delays to our customers. This is a quicker way to get rebooked.
375;375;11.0;0.075;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Shared my flight with a #K9. Keep him and his handler in your thoughts and prayers as they head overseas. you rock! https://t.co/XVQdg06HaP;What a great seatmate! We hope you have a great day, Christena.
376;376;15.0;0.0642;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;"Unfortunately, my flight➡️Philly➡️Vegas got delayed, thanx for rerouting &amp; providing me with this meal voucher though! 👏🏼 https://t.co/Yggctt72pK";Thats great to see our airport team in action while were delayed. Well do our best to have you in Vegas as early as possible!
377;377;19.0;0.0681;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;Yall always do some shit wrong lol;Were so sorry this has been your experience. Please DM your record locator and let us know how we can help.
378;378;10.0;0.0673;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Hi check your DM please, thank you;Weve got your DMs and well respond there shortly!
379;379;14.0;0.0648;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;And let’s move it without announcements to the most crowded carousel https://t.co/2uscEjmnZW;Were sorry that your bags didnt come off first. Well let our airport leadership team know that this happened.
380;380;2.0;0.075;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Be aware when buying seats. Spent over 300 for them to have early boarding as stated in each of the seats I bought... lies :(;Wed like to take a look into that, Giliane. Please DM your record locator.
381;381;1.0;0.0982;cancel, airline, trip, expect, return, buy, chance, full, price, include;Fuck and the monopoly major airlines have over smaller airlines. https://t.co/qQnpsRV4OB;We have several purchase options. Please check here: https://t.co/O6Fdx4Pk6T and let us know if you have any questions.
382;382;10.0;0.0645;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Thank you for misplacing my bag. Almost 24 hours without all my stuff. Can’t believe I have to use side b of my underwear 🙁;Our sincerest apologies for your delayed baggage. Please DM your bag file and well check on an update.
383;383;8.0;0.0648;https, today, fly, home, guess, aa, awesome, treat, part, joke;I will communicate directly. You did not shine today.;We do like to shine for you, Gary. Were sorry for the wait. Let us know if you need any help. Were here for you.
384;384;11.0;0.0873;flight, great, staff, terrible, destination, entire, completely, locator, question, list;is the worst airline is the entire world. Rude Customer Service and even ruder Supervisors. Avoid this airlines at all cost. kick AA Ass. #aasucks;We expect our team to be professional and courteous at all times and were very sorry for any rudeness. How can we help?
385;385;12.0;0.075;make, change, customer, hope, thing, fee, dm, line, cool, night;"WHATS the deal AA??? So unfair I can scream! Bait &amp; Switch fares AS IM MAKING FLT ARRANGEMENTS?? Are you for real???";We see your DM and will reply to you there.
386;386;0.0;0.0621;call, year, guy, nice, update, amp, ve, week, receive, status;"mci -&gt; ord on ";Youre keeping us on our toes, Andrew! Always great to see you.
387;387;12.0;0.1083;make, change, customer, hope, thing, fee, dm, line, cool, night;What’s the best comp motto? 1. Friends don’t let friends fly OR 2. At the customer is always wrong? #AmeriAirSux;Were here to help, Leslie. Whats going on?
388;388;15.0;0.1174;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;"Flight #AA1473 best #captain &amp; #crew, hands down. Flight Captain even acknowledged the 2 first time fliers! 💯 ";Weve the best crews in the biz, Ahmed! We always want everyone to feel special. #AATeam
389;389;13.0;0.082;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;Pls share. This is my mom. A flight attendant on American Airlines spilling hot coffee on my moms legs causing second degree burns. https://t.co/HpQiFexirD;Please follow and DM us with your moms Customer Relations file number so we can take a closer look.
390;390;7.0;0.0957;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;WEEKS later, we still cant get boarding passes on your website.;Boarding passes arent issued until you check-in 24 hrs. of your flight.
391;391;15.0;0.0639;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;- why is the new YYZ lounge to do small? #goingformediocre;We always want you to enjoy your time in our Admirals Clubs. Thanks for your feedback on this.
392;392;5.0;0.0854;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Hey when will we know if our flights are confirmed after this scheduling glitch?;We dont anticipate any cancellations at this time. You can sign up for notifications here: https://t.co/h88H9iXqqT
393;393;12.0;0.145;make, change, customer, hope, thing, fee, dm, line, cool, night;Someone tell Thomas at the AAvantage desk a special thank you from my family. He made it right without hesitation the 1st time I called late last night. Thomas save a customer today and the rest was an added bonus.;Well pass along your kudos to Thomas!
394;394;8.0;0.0767;https, today, fly, home, guess, aa, awesome, treat, part, joke;you guys met me at the gate and treated me like VIP, upgraded our seats and gave us vouchers. Well done AA. Great response and thank you. Way above what I thought and very happy.;We love taking great care of you, Kyle! Hope to see you again soon.
395;395;11.0;0.0689;flight, great, staff, terrible, destination, entire, completely, locator, question, list;When will the list of affected flights be announced?;Were doing everything we can to avoid cancellations. You can sign up for notifications here: https://t.co/h88H9iXqqT
396;396;1.0;0.075;cancel, airline, trip, expect, return, buy, chance, full, price, include;It would be really nice if could not have a replay of yesterdays mechanical malfunction and maybe....idk... Get me home.... Today? Kthx;Were working hard to get you on your way. Let us now if you need any help getting rebooked.
397;397;15.0;0.0942;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;When will we know if this flight is cancelled or not due to the shortage of crew for flights?;Were doing everything we can to avoid cancellations. You can sign up for notifications here: https://t.co/h88H9iXqqT
398;398;1.0;0.0982;cancel, airline, trip, expect, return, buy, chance, full, price, include;If my December 18th flight from Dallas to San Francisco is cancelled, will you be comping the fees to switch to another airline on that date?;If a flight of yours is cancelled and you dont rebook with us, well refund the unflown segments.
399;399;9.0;0.0673;flight, back, problem, happy, hold, long, service, terminal, money, row;thank you! happy holidays!;Happy Holidays!
400;400;12.0;0.0818;make, change, customer, hope, thing, fee, dm, line, cool, night;hello! any updates on flights for xmas time? we would like to know so we can make other arrangements if we need to.;We are working diligently to address the issue and expect to avoid cancellations this holiday season.
401;401;10.0;0.1102;bag, check, free, carry, luggage, put, bring, cabin, force, fit;You need to specify when you purchase your ticket if your bag will fly free! Specify that the AA Cardholder only will get a free bag! So frustrating!;Sorry for any confusion. We can double check your baggage allowance if youd like. Just DM your record locator.
402;402;5.0;0.0911;aa, give, pilot, plan, option, food, answer, schedule, offer, small; When are you planning to publish a re-book policy or confirm flight canx due to your scheduling glitch. will not let me change my AA operated LHR-JFK flight until you do!;Were working hard to avoid cancellations. You can sign up for notifications here: https://t.co/h88H9iXqqT
403;403;2.0;0.0712;seat, pay, move, extra, purchase, information, room, group, screw, hotel;can you check recent co-pay upgrade on PNR TSFYGO, showed up on CC in $ instead of KRW;Weve sent you a DM, Michael.
404;404;16.0;0.0686;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Thanks for the AAwesome upgrade https://t.co/YOf6DuauMH;Happy to have you on board Chris! #Enjoy
405;405;12.0;0.0652;make, change, customer, hope, thing, fee, dm, line, cool, night;Thanks for the cool view of Chicago! https://t.co/BhuWzYaBOB;Very nice coastline shot of the city, Chris! #AmericanView
406;406;10.0;0.0645;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Many thanks to the team at ORD! Went through Global Entry and bags were on the conveyor within minutes. 😊;Yippee, we love providing a smooth and seamless travel experience!
407;407;18.0;0.0767;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Morning Guys, have you got an ETA on when you’re issuing the list of flights disrupted? I know I can get notifications, so please don’t send me a link. I just want to know when you’ll be issuing official information.;Were doing everything we can to maintain flights. You can sign up for notifications here: https://t.co/h88H9iXqqT
408;408;18.0;0.0669;issue, holiday, family, happen, fix, due, card, end, contact, first_class;As in my first message, I said I know I can get notifications, I’ve seen your other automated responses, but I wanted to know when you’ll be issuing official information? Do you have an expected date for this?;We dont know when additional info will be provided.
409;409;3.0;0.0772;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Also, when do you expect this to be rectified? https://t.co/414U2T2VW7;Whats going on exactly? Meet us in DM with your record locator and more info.
410;410;17.0;0.0725;time, bad, service, experience, response, home, understand, month, guy, reason;The silver lining with flying is it reminds me how much I love and prefer flying #perspective #wastedmiles;Sorry youre not having a great experience, Eddie.
411;411;17.0;0.0942;time, bad, service, experience, response, home, understand, month, guy, reason;Thank you for reasonably customer service and a very quick response to my concerns. Looking forward to my next flight on AmericanAir!;Were happy to help and cant wait to see you!
412;412;3.0;0.107;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;trying to get home flight 443 out of Raleigh NC. Landing gear malfunction... Sitting on full plane for 2 hours only to be deplaned and delayed. Been at airport all day and still no progress towards home! https://t.co/TxTvF47WQY;We see our Reservations team assisted with rebooking, Henry. Were so sorry for the extra travel time.
413;413;3.0;0.0784;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Nothing like sweating like it’s middle of summer at 5:42am on an plane! #getaclue #hotashell how about some A/C?! #dumb #AAsucks;Sorry youre not comfy on board. Well have you cooled off shortly.
414;414;16.0;0.0818;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Life is good when you get a free upgrade to an exit row! Thanks ;#Congrats Stephen. Enjoy it!
415;415;4.0;0.0639;delay, hour, miss, late, connection, suck, flight, policy, refund, water;I’m going to miss my flight, what are my options?!;We can look at a Same Day Flight Change via DM or you can see our airport team for standby.
416;416;15.0;0.0787;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;A American renovou diversos lounges nos Estados Unidos. Apresentamos os novos lounges de Miami, Chicago e Los Angeles. Dá uma olhada como eles ficaram bonitos! https://t.co/XPTolbJp0P https://t.co/XCEC1dWchW;Theyre quite #fAAbulous!
417;417;9.0;0.0648;flight, back, problem, happy, hold, long, service, terminal, money, row;Going back to AAdvantage guys. Aiming to regain my ExP in 2018! See you soon!;Were excited! See you on board soon.
418;418;8.0;0.0673;https, today, fly, home, guess, aa, awesome, treat, part, joke;got the job done today going through to ;It was a pleasure seeing you on board and we cant wait to see you again!
419;419;10.0;0.1038;bag, check, free, carry, luggage, put, bring, cabin, force, fit;i had to put my regulation carryon into 2 sizers before getting to the flight and it fit. Tell me please why when boarding the aircraft in an early group did they make me check my bag. I am insulted and upset. Dont give me a canned answer.;We always want to be consistent when it comes to your carry-on bag and were sorry it had to be checked. We invite you to DM more details.
420;420;8.0;0.0717;https, today, fly, home, guess, aa, awesome, treat, part, joke;We are most grateful to our numerous supporters and for flying us to South Korea! https://t.co/8FBMxgCPSe;It was a pleasure being your ride through the skies!
421;421;3.0;0.0812;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;I usually fly but SWA doesnt fly into FAY. Long story short, you will NEVER have my business again. SWA is more likely to create a flightplan in and out of FAY to help me than you would be to provide decent customer service. #AAlikestomakecustomerscry;Our team is always happy to provide great service and help as much as we can. Whats going that has you feeling otherwise?
422;422;4.0;0.1071;delay, hour, miss, late, connection, suck, flight, policy, refund, water;"Tried 2 check my bag 42 mins B4 flt. Rude counter-lady informed me I ""missed"" my flt. Had time to get rescheduled, cry over missed hours w/ my family, call every1, go thru security, cry some more, get food and walk past my original gate which had not even begun boarding yet.";Our system is unable to check your bag in once the cutoff time is met. Well get you to your destination as soon as possible.
423;423;18.0;0.0738;issue, holiday, family, happen, fix, due, card, end, contact, first_class;It’s in there correctly. I called you three times before checking in, and each person assured me it looked good to them. I’ve never had this issue with or ;Our offer to take a look stands.
424;424;0.0;0.0723;call, year, guy, nice, update, amp, ve, week, receive, status;What’s the point of having a KTN if airlines aren’t going to honor it? ;Wed be happy to take a look at your reservation to make sure its in correctly, please share your KTN and record locator via DM.
425;425;10.0;0.1038;bag, check, free, carry, luggage, put, bring, cabin, force, fit;sent me the very same forms and question are theyve sent to me to fill in .Ok lets get this clear .I dont have a damaged bag. The bag that the agents forced me to send into luggage had my studio equipment in there which came back to me damaged. Cant be used again;Please follow-up with our team directly via the email theyve sent.
426;426;8.0;0.1042;https, today, fly, home, guess, aa, awesome, treat, part, joke;#BabyNiles flying today! And he has taken up Daddys seat! https://t.co/dI4g09L8iD;Someone call the #pawparazzi, we cant get enough of your adorable companion!
427;427;16.0;0.0932;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Congratulations Once in a lifetime opportunity and you messed up. E-mail sent to AAdvantage Customer Service (sic) #fail;Whats going on and how can we help? Please share more details with us via DM.
428;428;14.0;0.0763;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;what good are systemwide upgrades if you won’t allow me to use on a flight where first class is completely open? First you go from 8 to 4 per year, and now I can’t even use in an empty cabin????;We do our best to clear as many upgrades as we can, send us a DM with the reservation youre referring to and well take a look.
429;429;13.0;0.0792;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;which will be the first flights cancelled domestic or international?;We want to get our customers where they need to be and we expect to avoid cancellations this holiday season.
430;430;13.0;0.0764;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;"Thanks for the cut &amp; paste answer. Domestic or international first ?";Were still flying and no cancellations are expected.
431;431;18.0;0.0686;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Hey am I getting to this holiday?;We expect to avoid cancellations and get you where you need to be.
432;432;7.0;0.0863;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;S/O to out of OKC this morning. From the ticket counter to the flight attendants to the pilots who took the time to chat and take a photo with a little boy, y’all were awesome! Made traveling at 3:30 in the morning enjoyable.;Way to rock it #AATeam! Its a pleasure to make your travel the best from start to finish.
433;433;1.0;0.0891;cancel, airline, trip, expect, return, buy, chance, full, price, include;can we just cancel our holiday flight now to avoid not being able to get on another airline with a full refund!? traveling december 18th!!;We want to keep families flying this holiday season and fully expect to avoid cancellations.
434;434;1.0;0.0979;cancel, airline, trip, expect, return, buy, chance, full, price, include;so are you able to cancel my flight full refund now!? i need to book with another airline and cant take any chances. Its going to be harder for customers to book the closer it gets to holiday travel.;Were working diligently to address this issue and well take excellent care of you.
435;435;19.0;0.0946;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;So then can I get a full refund now so I can book elsewhere? So I can get home for the holiday and not have to worry about other airlines being booked. I understand you dont want cancellation of flights, but its a possibility with no direction for customers.;If you cancel your reservation now, all fare rules will apply. Youre welcome to DM your record locator and well look at it with you.
436;436;17.0;0.0653;time, bad, service, experience, response, home, understand, month, guy, reason;You are leaving customers in the dark though. Out of those 15,000 pilots being off.. how many of them now said theyd work!? When will we know if our flight is in jeopardy!?;Were expecting to avoid cancellations this holiday season, you can check the status of your flight here: https://t.co/hSJ3SkyGEd
437;437;5.0;0.0738;aa, give, pilot, plan, option, food, answer, schedule, offer, small;you can only check your flight status a few days in advance. it doesnt give me option to type in december 18th.... #AmericanAirlines you need to start figuring out what is gonna be done for customers;Were diligently working on this issue and will provide more info if your flight is affected just as quickly as we can.
438;438;18.0;0.1259;issue, holiday, family, happen, fix, due, card, end, contact, first_class;why cant you just contact customers if there flight is in jeopardy? Give us the heads up, show great customer service. i get youre working hard on resolving the issue, but i cant have that as an answer. i need to plan other ways to get home for the holidays.;As previously mentioned, we have no plans on cancelling any flights as of now. You can set up notifications here: https://t.co/OtDaH7XmLN
439;439;10.0;0.1608;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Where to begin? We had to check in our bags when we were told they were a complimentary check in due to being card members and now our carry on bags are being forced to be checked in.when they already passed the test in the previous airport.;We can take a closer look at your reservation. Please DM your record locator.
440;440;1.0;0.0917;cancel, airline, trip, expect, return, buy, chance, full, price, include;Thats my issue. If you cancel it later Im worse off than if you cancel it now. Will #AmericanAirlines guarantee my flight will not be canceled due to lack of pilots?;Were working hard to avoid all cancellations.
441;441;13.0;0.0782;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;Can be trusted with my holiday travels? Will they cancel my flight and leave me stranded? I need real assurances from #AmericanAirlines;We dont plan on making any cancellations at this time. You can sign up for notifications here: https://t.co/h88H9iXqqT
442;442;1.0;0.1017;cancel, airline, trip, expect, return, buy, chance, full, price, include;Hey booked the fam on a flight to NYC on Dec 25 a day ahead of a family trip to Europe Dec 26 to be sure we’d make it. Can you ensure me that the flights won’t be canceled because you messed up pilot scheduling or do I have to risk a disaster?;We have a great team diligently working to address this and expect to avoid cancellations.
443;443;1.0;0.0704;cancel, airline, trip, expect, return, buy, chance, full, price, include;So what you are saying is that you really can’t offer me any assurances. So what are my options? Can I cancel and get a full refund?;We can check the fare rules on your ticket but were unable to waive any of the charges. Well take good care of you on your travel day.
444;444;8.0;0.0898;https, today, fly, home, guess, aa, awesome, treat, part, joke;Good morning from heading to the West Coast to catch an ocean #sunset later today. #sunrise #AmericanView https://t.co/bv32yEeUQm;Wow, your #AAview is B-E-AA-UTIFUL!
445;445;6.0;0.1202;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;As soon as we land Im filing multiple complaints on will never fly with them again;We never want you to have to do that but were here to help. Whats going on?
446;446;1.0;0.0706;cancel, airline, trip, expect, return, buy, chance, full, price, include;Once were at the desk checking the bags and then end up being charged $50 when they announced it was complimentary for us not being able to use the overhead bin.;Please follow and DM your record locator. Wed like to look into this more.
447;447;8.0;0.0818;https, today, fly, home, guess, aa, awesome, treat, part, joke;Anyone else flying for #Christmas ?? #worried https://t.co/sdhh5RJgxB;Well be wheels up ASAP and have you on your way. Please send a quick DM with your record locator and well check your connection.
448;448;10.0;0.0968;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Then why can people check bags at the gate while we are boarding? And AGAIN Im big enough to own up to not being at the airport unreasonably early for an empty date/time/flight but is it a requirement that your employees are miserable human beings?;We expect our team members to be kind and courteous. If you experienced any rudeness we truly apologize.
449;449;10.0;0.1299;bag, check, free, carry, luggage, put, bring, cabin, force, fit;why/how can people check their carry-on bags at the gate but I had to be put on a later flight because I arrived with a check bag nearly 45 minutes before my flight??;Theres a baggage cut-off time thats followed in order for your bags to make the flight. If you miss this time youll need to rebook.
450;450;18.0;0.0911;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Will you be contacting your ticketed customers with updates via email regarding possible flight cancellations in December due to computer glitch? Does this affect domestic and international?;Were still operating our holiday travel schedule as normal and expect to avoid cancellations.
451;451;5.0;0.1137;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Thanks for your automated reply, but you didn’t answer my specific questions. Haven’t flown AA since it mucked up trip to St. Martin. I look forward to specific response on how you plan to remedy. This msg is for mgmt, not you at customer service, you must be going thru hell.;Well take great care of you and thanks for giving us another opportunity. Please set up a notification here: https://t.co/h88H9iXqqT
452;452;0.0;0.0869;call, year, guy, nice, update, amp, ve, week, receive, status;I understand that but I’m on a 3 day https://t.co/kXKLo7g0bp can I book a flight without the funds in my bank. And before you ask. I already called the bank. They can’t release the funds until you guys call them with the confirmation code.;We care for all of our military men and women and wed like a bit more info. Please follow and DM additional details.
453;453;0.0;0.0891;call, year, guy, nice, update, amp, ve, week, receive, status; Please correct the issue regarding holiday travel asap. I havent seen my 80 plus year old family members since I buried my mother 6 years ago.;Were working on this and well get you to your family members with no problems. We look forward to having you on board.
454;454;9.0;0.0664;flight, back, problem, happy, hold, long, service, terminal, money, row;Thank you. I’m holding you to that.;Youre very welcome!
